ibge,anomes,bpc_ben,bpc_pcd_ben,bpc_idoso_ben,bpc_pcd_val,bpc_idoso_val,bpc_val
130290,202510,2457,1665,792,2532073.11,1203780.09,3735853.20
130300,202510,471,342,129,519170,195825.16,714995.16
130310,202510,1113,707,406,1074762.47,616308.26,1691070.73
130320,202510,637,407,230,617853.75,349142.57,966996.32
130330,202510,773,529,244,803052.08,370392.94,1173445.02
130340,202510,4032,2236,1796,3403516.87,2727886.7,6131403.57
130350,202510,573,449,124,681595.02,188232,869827.02
130353,202510,1148,634,514,965502.86,780267.07,1745769.93
130356,202510,1056,552,504,837963.17,766602.17,1604565.34
130360,202510,169,149,20,226185.22,30360,256545.22
130370,202510,827,693,134,1051989.99,203413.3,1255403.29
130380,202510,1020,871,149,1322191.69,226182.46,1548374.15
130390,202510,615,541,74,821241.12,112332.4,933573.52
130395,202510,251,155,96,235304.08,145728.4,381032.48
130400,202510,160,131,29,198864.37,44022,242886.37
130406,202510,2569,1480,1089,2248227.5,1653119.14,3901346.64
130410,202510,582,387,195,587482.62,296010,883492.62
130420,202510,3299,2742,557,4174695.23,848566.75,5023261.98
130423,202510,318,247,71,374960.75,107778,482738.75
130426,202510,242,153,89,235296.83,135102.2,370399.03
130430,202510,463,291,172,444787.35,261096.52,705883.87
130440,202510,255,145,110,221641.95,166983.14,388625.09
140002,202510,107,43,64,65277.76,97155.83,162433.59
140005,202510,365,208,157,317275.84,238329.2,555605.04
140010,202510,20201,10376,9825,15788224.99,14934557.71,30722782.70
140015,202510,379,121,258,183690.67,393166.05,576856.72
140017,202510,318,169,149,256573.52,226196.75,482770.27
140020,202510,589,396,193,601166.49,292983.59,894150.08
140023,202510,174,104,70,157874.94,106261.86,264136.80
140028,202510,71,38,33,57690.5,50096.54,107787.04
140030,202510,410,293,117,446334.19,177612.56,623946.75
140040,202510,122,85,37,129036.46,56166.5,185202.96
140045,202510,876,180,696,273247.5,1058055.76,1331303.26
140047,202510,998,639,359,971566.93,544970.18,1516537.11
140050,202510,234,157,77,238337.94,116886.91,355224.85
140060,202510,183,123,60,186720.35,91080.6,277800.95
140070,202510,47,42,5,65276.52,7590,72866.52
150010,202510,6775,4353,2422,6621920.76,3678198.25,10300119.01
150013,202510,222,157,65,238327.71,98671.71,336999.42
150020,202510,1332,858,474,1302484.54,721054.74,2023539.28
150030,202510,903,498,405,756057.17,614828.76,1370885.93
150034,202510,262,160,102,242884.67,154836.1,397720.77
150040,202510,2347,1551,796,2354633.25,1209881.57,3564514.82
150050,202510,1042,663,379,1006517.57,575342.66,1581860.23
150060,202510,6617,4465,2152,6791749.47,3267434.99,10059184.46
150070,202510,274,219,55,333986.48,83493.59,417480.07
150080,202510,23810,12081,11729,18361718.36,17818646.26,36180364.62
150085,202510,772,538,234,816728.05,355218.42,1171946.47
150090,202510,1224,1043,181,1583385.03,274763.31,1858148.34
150095,202510,180,138,42,209492.66,63758.31,273250.97
150100,202510,115,83,32,125999.91,48578.5,174578.41
150110,202510,247,166,81,251992.56,122958.1,374950.66
150120,202510,502,387,115,587484.09,174570.9,762054.99
150125,202510,56,24,32,36432.4,50094,86526.4
150130,202510,3270,1650,1620,2509377.42,2462483.7,4971861.12
150140,202510,80761,37336,43425,56789605.09,66015951.07,122805556.16
150145,202510,423,275,148,417468.73,224664.64,642133.37
150150,202510,4476,2123,2353,3235043.91,3573440.65,6808484.56
